SIM CODE  	DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH4 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   
-         	YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
RenoT0Control	2006-01-01	5023.758857    	9.065114       	8.950788       	0.016703       	0.000000       	0.016703       	0.065114       	0.000163       	0.000639       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-02	5023.737188    	9.140373       	8.895773       	0.021669       	0.000000       	0.021669       	0.075259       	0.000188       	0.001236       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-03	5023.708298    	9.233123       	8.830241       	0.028890       	0.000000       	0.028890       	0.092750       	0.000232       	0.001441       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-04	5023.684068    	9.315171       	8.771178       	0.024230       	0.000000       	0.024230       	0.082047       	0.000205       	0.001040       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-05	5023.660362    	9.394809       	8.713998       	0.023706       	0.000000       	0.023706       	0.079639       	0.000199       	0.001049       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-06	5023.634855    	9.478288       	8.654410       	0.025507       	0.000000       	0.025507       	0.083479       	0.000209       	0.001407       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-07	5023.609511    	9.561086       	8.595475       	0.025344       	0.000000       	0.025344       	0.082798       	0.000207       	0.001274       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-08	5023.583657    	9.644633       	8.536542       	0.025854       	0.000000       	0.025854       	0.083547       	0.000209       	0.001030       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-09	5023.563904    	9.712601       	8.487135       	0.019753       	0.000000       	0.019753       	0.067967       	0.000170       	0.001023       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-10	5023.544888    	9.777087       	8.440630       	0.019016       	0.000000       	0.019016       	0.064486       	0.000161       	0.000874       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-11	5023.524785    	9.843622       	8.392868       	0.020103       	0.000000       	0.020103       	0.066535       	0.000166       	0.001164       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-12	5023.506147    	9.906003       	8.347971       	0.018638       	0.000000       	0.018638       	0.062380       	0.000156       	0.000999       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-13	5023.487203    	9.968425       	8.303249       	0.018943       	0.000000       	0.018943       	0.062423       	0.000156       	0.001087       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-14	5023.471084    	10.022721      	8.264113       	0.016119       	0.000000       	0.016119       	0.054296       	0.000136       	0.000823       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-15	5023.460813    	10.062659      	8.233696       	0.010271       	0.000000       	0.010271       	0.039938       	0.000100       	0.000651       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-16	5023.448422    	10.105763      	8.202421       	0.012391       	0.000000       	0.012391       	0.043104       	0.000108       	0.000453       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-17	5023.437927    	10.144069      	8.173853       	0.010495       	0.000000       	0.010495       	0.038306       	0.000096       	0.000662       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-18	5023.422494    	10.194239      	8.137380       	0.015433       	0.000000       	0.015433       	0.050171       	0.000125       	0.001610       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-01-19	5023.405538    	10.248926      	8.097822       	0.016955       	0.000000       	0.016955       	0.054687       	0.000137       	0.001689       	0.000000       	0.000000       	0.000000       	0.000000       
