SIM CODE  	DATE      	SOIL ORG C     	HUMIFIED C     	RES RESPIRED C 	SOM RESPIRED C 
-         	YYYY-MM-DD	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          
RenoT0Control	2006-01-01	50.237584      	0.000094       	0.000000       	0.000171       
RenoT0Control	2006-01-02	50.237362      	0.000122       	0.000000       	0.000222       
RenoT0Control	2006-01-03	50.237065      	0.000163       	0.000000       	0.000297       
RenoT0Control	2006-01-04	50.236816      	0.000137       	0.000000       	0.000249       
RenoT0Control	2006-01-05	50.236573      	0.000134       	0.000000       	0.000243       
RenoT0Control	2006-01-06	50.236311      	0.000144       	0.000000       	0.000262       
RenoT0Control	2006-01-07	50.236051      	0.000143       	0.000000       	0.000260       
RenoT0Control	2006-01-08	50.235785      	0.000146       	0.000000       	0.000265       
RenoT0Control	2006-01-09	50.235583      	0.000111       	0.000000       	0.000203       
RenoT0Control	2006-01-10	50.235387      	0.000107       	0.000000       	0.000195       
RenoT0Control	2006-01-11	50.235181      	0.000113       	0.000000       	0.000206       
RenoT0Control	2006-01-12	50.234990      	0.000105       	0.000000       	0.000191       
RenoT0Control	2006-01-13	50.234795      	0.000107       	0.000000       	0.000194       
RenoT0Control	2006-01-14	50.234630      	0.000091       	0.000000       	0.000165       
RenoT0Control	2006-01-15	50.234524      	0.000058       	0.000000       	0.000105       
RenoT0Control	2006-01-16	50.234397      	0.000070       	0.000000       	0.000127       
RenoT0Control	2006-01-17	50.234289      	0.000059       	0.000000       	0.000108       
RenoT0Control	2006-01-18	50.234131      	0.000087       	0.000000       	0.000158       
RenoT0Control	2006-01-19	50.233957      	0.000096       	0.000000       	0.000174       
RenoT0Control	2006-01-20	50.233762      	0.000107       	0.000000       	0.000195       
RenoT0Control	2006-01-21	50.233530      	0.000128       	0.000000       	0.000232       
RenoT0Control	2006-01-22	50.233213      	0.000174       	0.000000       	0.000316       
RenoT0Control	2006-01-23	50.233017      	0.000108       	0.000000       	0.000196       
RenoT0Control	2006-01-24	50.232869      	0.000081       	0.000000       	0.000148       
RenoT0Control	2006-01-25	50.232753      	0.000063       	0.000000       	0.000116       
RenoT0Control	2006-01-26	50.232667      	0.000047       	0.000000       	0.000086       
RenoT0Control	2006-01-27	50.232583      	0.000046       	0.000000       	0.000084       
RenoT0Control	2006-01-28	50.232486      	0.000053       	0.000000       	0.000097       
RenoT0Control	2006-01-29	50.232337      	0.000082       	0.000000       	0.000150       
RenoT0Control	2006-01-30	50.232131      	0.000113       	0.000000       	0.000206       
