SIM CODE  	DATE      	IRRIGATION     	RUNOFF         	INFILTRATION   	DRAINAGE       	SOIL EVAP      	RES EVAP       	SNOW SUB       	TRANSPIRATION  	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            
-         	-         	-              	-              	-              	-              	-              	-              	-              	-              	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        
-         	YYYY-MM-DD	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          
RenoT0Control	2006-01-01	0.000000       	0.000000       	0.000000       	0.000000       	0.333441       	0.000000       	0.000000       	0.000000       	0.145287       	0.151956       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-02	0.000000       	0.000000       	0.000000       	0.000000       	0.385402       	0.000000       	0.000000       	0.000000       	0.137579       	0.151956       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-03	0.000000       	0.000000       	0.000000       	0.000000       	0.325601       	0.000000       	0.000000       	0.000000       	0.131067       	0.151956       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-04	0.000000       	0.000000       	0.000000       	0.000000       	0.245184       	0.000000       	0.000000       	0.000000       	0.126163       	0.151956       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-05	0.000000       	0.000000       	0.000000       	0.000000       	0.351252       	0.000000       	0.000000       	0.000000       	0.119138       	0.151956       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-06	0.000000       	0.000000       	0.000000       	0.000000       	0.347748       	0.000000       	0.000000       	0.000000       	0.112913       	0.151226       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-07	0.000000       	0.000000       	0.000000       	0.000000       	0.364978       	0.000000       	0.000000       	0.000000       	0.108118       	0.148721       	0.151956       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-08	0.000000       	0.000000       	0.000000       	0.000000       	0.396582       	0.000000       	0.000000       	0.000000       	0.104245       	0.144978       	0.151641       	0.151956       	0.162637       	0.162637       	0.159289       	0.159289       	0.128470       
RenoT0Control	2006-01-09	0.000000       	0.000000       	0.000000       	0.000000       	0.375163       	0.000000       	0.000000       	0.000000       	0.101013       	0.141653       	0.151036       	0.151783       	0.162581       	0.162621       	0.159284       	0.159288       	0.128470       
RenoT0Control	2006-01-10	0.000000       	0.000000       	0.000000       	0.000000       	0.276639       	0.000000       	0.000000       	0.000000       	0.098253       	0.138880       	0.151036       	0.151783       	0.162581       	0.162621       	0.159284       	0.159288       	0.128470       
RenoT0Control	2006-01-11	0.000000       	0.000000       	0.000000       	0.000000       	0.291784       	0.000000       	0.000000       	0.000000       	0.095853       	0.136161       	0.150443       	0.151659       	0.162581       	0.162621       	0.159284       	0.159288       	0.128470       
RenoT0Control	2006-01-12	0.000000       	0.000000       	0.000000       	0.000000       	0.275888       	0.000000       	0.000000       	0.000000       	0.093736       	0.133684       	0.149860       	0.151488       	0.162525       	0.162606       	0.159279       	0.159286       	0.128469       
RenoT0Control	2006-01-13	0.000000       	0.000000       	0.000000       	0.000000       	0.253607       	0.000000       	0.000000       	0.000000       	0.091847       	0.131412       	0.149288       	0.151317       	0.162469       	0.162590       	0.159275       	0.159285       	0.128469       
RenoT0Control	2006-01-14	0.000000       	0.000000       	0.000000       	0.000000       	0.234808       	0.000000       	0.000000       	0.000000       	0.090146       	0.129318       	0.148726       	0.151148       	0.162414       	0.162575       	0.159270       	0.159284       	0.128468       
RenoT0Control	2006-01-15	0.000000       	0.000000       	0.000000       	0.000000       	0.218732       	0.000000       	0.000000       	0.000000       	0.088602       	0.127377       	0.148174       	0.150979       	0.162358       	0.162559       	0.159265       	0.159282       	0.128468       
RenoT0Control	2006-01-16	0.000000       	0.000000       	0.000000       	0.000000       	0.204826       	0.000000       	0.000000       	0.000000       	0.087191       	0.125572       	0.147631       	0.150811       	0.162303       	0.162544       	0.159260       	0.159281       	0.128467       
RenoT0Control	2006-01-17	0.000000       	0.000000       	0.000000       	0.000000       	0.192679       	0.000000       	0.000000       	0.000000       	0.085893       	0.123885       	0.147097       	0.150644       	0.162247       	0.162528       	0.159255       	0.159280       	0.128467       
RenoT0Control	2006-01-18	0.000000       	0.000000       	0.000000       	0.000000       	0.181975       	0.000000       	0.000000       	0.000000       	0.084694       	0.122304       	0.146572       	0.150478       	0.162192       	0.162513       	0.159250       	0.159278       	0.128467       
RenoT0Control	2006-01-19	0.000000       	0.000000       	0.000000       	0.000000       	0.172472       	0.000000       	0.000000       	0.000000       	0.083580       	0.120818       	0.146056       	0.150312       	0.162137       	0.162497       	0.159245       	0.159277       	0.128466       
RenoT0Control	2006-01-20	0.000000       	0.000000       	0.000000       	0.000000       	0.163978       	0.000000       	0.000000       	0.000000       	0.082542       	0.119417       	0.145548       	0.150148       	0.162081       	0.162482       	0.159241       	0.159276       	0.128466       
RenoT0Control	2006-01-21	0.000000       	0.000000       	0.000000       	0.000000       	0.156340       	0.000000       	0.000000       	0.000000       	0.081570       	0.118093       	0.145048       	0.149984       	0.162026       	0.162466       	0.159236       	0.159274       	0.128465       
RenoT0Control	2006-01-22	0.000000       	0.000000       	0.000000       	0.000000       	0.149435       	0.000000       	0.000000       	0.000000       	0.080658       	0.116838       	0.144557       	0.149821       	0.161971       	0.162451       	0.159231       	0.159273       	0.128465       
RenoT0Control	2006-01-23	0.000000       	0.000000       	0.000000       	0.000000       	0.143161       	0.000000       	0.000000       	0.000000       	0.079800       	0.115646       	0.144073       	0.149659       	0.161916       	0.162435       	0.159226       	0.159272       	0.128464       
RenoT0Control	2006-01-24	0.000000       	0.000000       	0.000000       	0.000000       	0.137436       	0.000000       	0.000000       	0.000000       	0.078989       	0.114513       	0.143597       	0.149498       	0.161862       	0.162420       	0.159221       	0.159270       	0.128464       
RenoT0Control	2006-01-25	0.000000       	0.000000       	0.000000       	0.000000       	0.132190       	0.000000       	0.000000       	0.000000       	0.078222       	0.113433       	0.143127       	0.149338       	0.161807       	0.162405       	0.159216       	0.159269       	0.128463       
RenoT0Control	2006-01-26	0.000000       	0.000000       	0.000000       	0.000000       	0.127365       	0.000000       	0.000000       	0.000000       	0.077495       	0.112401       	0.142665       	0.149178       	0.161752       	0.162389       	0.159212       	0.159268       	0.128463       
RenoT0Control	2006-01-27	0.000000       	0.000000       	1.200000       	0.000000       	0.122912       	0.000000       	0.000000       	0.000000       	0.100804       	0.111415       	0.142210       	0.149019       	0.161698       	0.162374       	0.159207       	0.159266       	0.128462       
RenoT0Control	2006-01-28	0.000000       	0.000000       	4.500000       	0.000000       	0.222450       	0.000000       	0.408976       	0.000000       	0.188072       	0.110470       	0.141762       	0.148861       	0.161643       	0.162358       	0.159202       	0.159265       	0.128462       
RenoT0Control	2006-01-29	0.000000       	0.000000       	34.525000      	0.000000       	0.000002       	0.000000       	0.403418       	0.000000       	0.242039       	0.254345       	0.266332       	0.257108       	0.268594       	0.185328       	0.159202       	0.159265       	0.128462       
RenoT0Control	2006-01-30	0.000000       	0.024342       	11.200658      	0.000000       	0.001047       	0.000000       	0.442274       	0.000000       	0.242039       	0.266564       	0.292222       	0.303710       	0.277282       	0.246280       	0.159202       	0.159265       	0.128462       
RenoT0Control	2006-01-31	0.000000       	0.000000       	0.095331       	0.000000       	0.554256       	0.000000       	0.000000       	0.000000       	0.232860       	0.242039       	0.242039       	0.260070       	0.268313       	0.268870       	0.181979       	0.159265       	0.128462       
RenoT0Control	2006-02-01	0.000000       	0.000000       	0.000000       	0.000000       	0.555490       	0.000000       	0.000000       	0.000000       	0.221751       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-02	0.000000       	0.000000       	0.000000       	0.000000       	0.544509       	0.000000       	0.000000       	0.000000       	0.210861       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-03	0.000000       	0.000000       	0.000000       	0.000000       	0.525395       	0.000000       	0.000000       	0.000000       	0.200353       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-04	0.000000       	0.000000       	0.000000       	0.000000       	0.556813       	0.000000       	0.000000       	0.000000       	0.189216       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-05	0.000000       	0.000000       	0.000000       	0.000000       	0.455852       	0.000000       	0.000000       	0.000000       	0.180099       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-06	0.000000       	0.000000       	0.000000       	0.000000       	0.547681       	0.000000       	0.000000       	0.000000       	0.169146       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-07	0.000000       	0.000000       	0.000000       	0.000000       	0.522161       	0.000000       	0.000000       	0.000000       	0.158702       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-08	0.000000       	0.000000       	0.000000       	0.000000       	0.558786       	0.000000       	0.000000       	0.000000       	0.147527       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-09	0.000000       	0.000000       	0.000000       	0.000000       	0.815227       	0.000000       	0.000000       	0.000000       	0.131222       	0.242039       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-10	0.000000       	0.000000       	0.000000       	0.000000       	0.874966       	0.000000       	0.000000       	0.000000       	0.121333       	0.234429       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-11	0.000000       	0.000000       	0.000000       	0.000000       	0.829719       	0.000000       	0.000000       	0.000000       	0.114534       	0.224633       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-12	0.000000       	0.000000       	0.000000       	0.000000       	0.678214       	0.000000       	0.000000       	0.000000       	0.109394       	0.216210       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-13	0.000000       	0.000000       	0.000000       	0.000000       	0.724175       	0.000000       	0.000000       	0.000000       	0.105289       	0.205830       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
RenoT0Control	2006-02-14	0.000000       	0.000000       	0.000000       	0.000000       	0.737071       	0.000000       	0.000000       	0.000000       	0.101893       	0.194485       	0.242039       	0.242039       	0.267273       	0.267273       	0.187805       	0.159265       	0.128462       
