SIM CODE  	DATE      	MIN TMP        	MAX TMP        	AVG TMP        	REFERENCE ET   	PRECIPITATION  
-         	YYYY-MM-DD	C              	C              	C              	mm/day         	mm             
RenoT0Control	2006-01-01	-4.90          	2.50           	-1.20          	0.333          	0.00           
RenoT0Control	2006-01-02	-5.90          	7.50           	0.80           	0.385          	0.00           
RenoT0Control	2006-01-03	-3.50          	9.40           	2.95           	0.326          	0.00           
RenoT0Control	2006-01-04	-5.60          	8.00           	1.20           	0.245          	0.00           
RenoT0Control	2006-01-05	-2.70          	4.70           	1.00           	0.351          	0.00           
RenoT0Control	2006-01-06	-4.60          	8.00           	1.70           	0.348          	0.00           
RenoT0Control	2006-01-07	-4.10          	7.30           	1.60           	0.365          	0.00           
RenoT0Control	2006-01-08	-0.80          	4.30           	1.75           	0.397          	0.00           
RenoT0Control	2006-01-09	-5.00          	4.10           	-0.45          	0.437          	0.00           
RenoT0Control	2006-01-10	-6.90          	6.20           	-0.35          	0.277          	0.00           
RenoT0Control	2006-01-11	-7.30          	8.30           	0.50           	0.292          	0.00           
RenoT0Control	2006-01-12	-6.90          	6.80           	-0.05          	0.309          	0.00           
RenoT0Control	2006-01-13	-6.80          	7.30           	0.25           	0.296          	0.00           
RenoT0Control	2006-01-14	-8.80          	7.50           	-0.65          	0.260          	0.00           
RenoT0Control	2006-01-15	-8.90          	3.80           	-2.55          	0.324          	0.00           
RenoT0Control	2006-01-16	-4.80          	1.70           	-1.55          	0.319          	0.00           
RenoT0Control	2006-01-17	-5.90          	1.90           	-2.00          	0.340          	0.00           
RenoT0Control	2006-01-18	-6.00          	6.30           	0.15           	0.440          	0.00           
RenoT0Control	2006-01-19	-5.20          	6.70           	0.75           	0.448          	0.00           
RenoT0Control	2006-01-20	-6.40          	9.10           	1.35           	0.394          	0.00           
RenoT0Control	2006-01-21	-4.80          	9.80           	2.50           	0.551          	0.00           
RenoT0Control	2006-01-22	-3.80          	13.40          	4.80           	0.877          	0.00           
RenoT0Control	2006-01-23	-6.00          	5.50           	-0.25          	0.580          	0.00           
RenoT0Control	2006-01-24	-7.50          	4.20           	-1.65          	0.483          	0.00           
RenoT0Control	2006-01-25	-8.40          	2.90           	-2.75          	0.361          	0.00           
RenoT0Control	2006-01-26	-7.80          	-1.40          	-4.60          	0.401          	0.00           
RenoT0Control	2006-01-27	-4.80          	0.70           	-2.05          	0.451          	1.20           
RenoT0Control	2006-01-28	-0.40          	2.00           	0.80           	0.409          	23.60          
RenoT0Control	2006-01-29	1.10           	3.40           	2.25           	0.403          	26.40          
RenoT0Control	2006-01-30	1.40           	4.30           	2.85           	0.442          	1.60           
RenoT0Control	2006-01-31	-1.30          	9.70           	4.20           	0.571          	0.00           
RenoT0Control	2006-02-01	-2.90          	13.00          	5.05           	0.555          	0.00           
RenoT0Control	2006-02-02	-3.60          	12.40          	4.40           	0.545          	0.00           
RenoT0Control	2006-02-03	-3.00          	9.60           	3.30           	0.525          	0.00           
RenoT0Control	2006-02-04	-2.90          	10.40          	3.75           	0.557          	0.00           
RenoT0Control	2006-02-05	-2.50          	2.30           	-0.10          	0.456          	0.00           
RenoT0Control	2006-02-06	-3.10          	4.40           	0.65           	0.548          	0.00           
RenoT0Control	2006-02-07	-4.50          	4.20           	-0.15          	0.522          	0.00           
RenoT0Control	2006-02-08	-4.50          	4.30           	-0.10          	0.559          	0.00           
RenoT0Control	2006-02-09	-2.90          	10.10          	3.60           	0.815          	0.00           
RenoT0Control	2006-02-10	-3.40          	9.30           	2.95           	0.875          	0.00           
RenoT0Control	2006-02-11	-4.10          	9.50           	2.70           	0.830          	0.00           
RenoT0Control	2006-02-12	-4.20          	7.50           	1.65           	0.678          	0.00           
RenoT0Control	2006-02-13	-3.50          	8.30           	2.40           	0.724          	0.00           
RenoT0Control	2006-02-14	-3.10          	8.00           	2.45           	0.737          	0.00           
RenoT0Control	2006-02-15	-1.30          	4.40           	1.55           	0.553          	0.00           
RenoT0Control	2006-02-16	-2.50          	8.40           	2.95           	0.864          	0.00           
RenoT0Control	2006-02-17	-2.00          	13.90          	5.95           	1.601          	0.00           
RenoT0Control	2006-02-18	-1.30          	9.00           	3.85           	1.045          	0.00           
RenoT0Control	2006-02-19	0.10           	2.90           	1.50           	0.454          	20.80          
RenoT0Control	2006-02-20	0.40           	7.00           	3.70           	0.673          	0.00           
RenoT0Control	2006-02-21	1.20           	5.90           	3.55           	0.624          	0.00           
RenoT0Control	2006-02-22	0.80           	6.20           	3.50           	0.650          	0.20           
RenoT0Control	2006-02-23	0.50           	9.50           	5.00           	0.951          	0.00           
RenoT0Control	2006-02-24	2.30           	5.40           	3.85           	0.563          	13.20          
RenoT0Control	2006-02-25	0.60           	6.40           	3.50           	0.737          	4.20           
RenoT0Control	2006-02-26	-2.20          	9.80           	3.80           	1.118          	0.00           
RenoT0Control	2006-02-27	-0.20          	8.70           	4.25           	1.053          	0.00           
RenoT0Control	2006-02-28	-1.70          	6.10           	2.20           	0.901          	0.00           
RenoT0Control	2006-03-01	-2.70          	7.60           	2.45           	1.022          	0.00           
RenoT0Control	2006-03-02	-2.70          	8.50           	2.90           	1.186          	0.00           
RenoT0Control	2006-03-03	-0.80          	8.90           	4.05           	1.197          	0.00           
