crop,year,region,region_id,land_area,crop_yield,crop_price
barley,2009,Afar,2,,,
maize,2009,Afar,2,13166.81,2836.786207,0.325945241
millet,2009,Afar,2,,,
pulses,2009,Afar,2,,,
sorghum,2009,Afar,2,2113.837366,1261.488008,0.479331237
teff,2009,Afar,2,,,
wheat,2009,Afar,2,,,
barley,2010,Afar,2,,,
maize,2010,Afar,2,3498.58,3686.182394,0.325945241
millet,2010,Afar,2,,,
pulses,2010,Afar,2,,,
sorghum,2010,Afar,2,578.4,1354.581604,0.479331237
teff,2010,Afar,2,,,
wheat,2010,Afar,2,,,
barley,2011,Afar,2,,,
maize,2011,Afar,2,7673.08,1720.581435,0.325945241
millet,2011,Afar,2,,,
pulses,2011,Afar,2,,,
sorghum,2011,Afar,2,2700.93,1719.315199,0.479331237
teff,2011,Afar,2,,,
wheat,2011,Afar,2,,,
barley,2012,Afar,2,,,
maize,2012,Afar,2,4333.21,3242.355205,0.325945241
millet,2012,Afar,2,,,
pulses,2012,Afar,2,,,
sorghum,2012,Afar,2,4872.34,3173.044985,0.479331237
teff,2012,Afar,2,,,
wheat,2012,Afar,2,,,
barley,2013,Afar,2,,,
maize,2013,Afar,2,3346.35,5632.48405,0.325945241
millet,2013,Afar,2,,,
pulses,2013,Afar,2,,,
sorghum,2013,Afar,2,3754.37,5214.435711,0.479331237
teff,2013,Afar,2,,,
wheat,2013,Afar,2,,,
barley,2014,Afar,2,,,
maize,2014,Afar,2,4723.91,3645.993891,0.325945241
millet,2014,Afar,2,,,
pulses,2014,Afar,2,,,
sorghum,2014,Afar,2,6644.33,2829.238313,0.479331237
teff,2014,Afar,2,,,
wheat,2014,Afar,2,,,
barley,2015,Afar,2,,,
maize,2015,Afar,2,4342.7,3597.715477,0.325945241
millet,2015,Afar,2,,,
pulses,2015,Afar,2,,,
sorghum,2015,Afar,2,1628.24,2396.206947,0.479331237
teff,2015,Afar,2,,,
wheat,2015,Afar,2,,,
barley,2016,Afar,2,,,
maize,2016,Afar,2,2330.86,2419.569601,0.325945241
millet,2016,Afar,2,,,
pulses,2016,Afar,2,,,
sorghum,2016,Afar,2,1879.73,783.7742655,0.479331237
teff,2016,Afar,2,,,
wheat,2016,Afar,2,,,
barley,2017,Afar,2,,,
maize,2017,Afar,2,4308.23,3203.383292,0.325945241
millet,2017,Afar,2,,,
pulses,2017,Afar,2,,,
sorghum,2017,Afar,2,2653.56,1921.200576,0.479331237
teff,2017,Afar,2,,,
wheat,2017,Afar,2,,,
barley,2018,Afar,2,,,
maize,2018,Afar,2,4308.23,3203.383292,0.325945241
millet,2018,Afar,2,,,
pulses,2018,Afar,2,,,
sorghum,2018,Afar,2,2653.56,1921.200576,0.479331237
teff,2018,Afar,2,,,
wheat,2018,Afar,2,,,
barley,2009,Amhara,3,347719.9,1398.1075,0.432836107
maize,2009,Amhara,3,396715.7,2334.07551,0.278012117
millet,2009,Amhara,3,195002.7,1342.429259,0.4
pulses,2009,Amhara,3,716586.2,1275.365434,0.479331237
sorghum,2009,Amhara,3,547152.6,1668.857682,0.431398113
teff,2009,Amhara,3,1003948,1233.47763,0.766929979
wheat,2009,Amhara,3,434386.4,1506.727904,0.474537925
barley,2010,Amhara,3,387862.4,1306.567412,0.432836107
maize,2010,Amhara,3,355508.17,2253.307987,0.278012117
millet,2010,Amhara,3,164321.16,1518.424353,0.4
pulses,2010,Amhara,3,694671.7,1229.502277,0.479331237
sorghum,2010,Amhara,3,486467.74,1628.568567,0.431398113
teff,2010,Amhara,3,1001028.47,1284.735031,0.766929979
wheat,2010,Amhara,3,548315.25,1634.265563,0.474537925
barley,2011,Amhara,3,328268.73,1312.161393,0.432836107
maize,2011,Amhara,3,472260.11,2572.32274,0.278012117
millet,2011,Amhara,3,216959.97,1548.677274,0.4
pulses,2011,Amhara,3,553380.72,1379.374404,0.479331237
sorghum,2011,Amhara,3,710731.78,2157.756439,0.431398113
teff,2011,Amhara,3,1014267.85,1261.114313,0.766929979
wheat,2011,Amhara,3,498748.68,1653.859657,0.474537925
barley,2012,Amhara,3,303760.05,1420.719654,0.432836107
maize,2012,Amhara,3,494625.08,2706.499883,0.278012117
millet,2012,Amhara,3,230613.94,1532.99301,0.4
pulses,2012,Amhara,3,721045.69,1403.834921,0.479331237
sorghum,2012,Amhara,3,733017.68,1953.660071,0.431398113
teff,2012,Amhara,3,1003380.97,1305.865702,0.766929979
wheat,2012,Amhara,3,460164.57,1672.198992,0.474537925
barley,2013,Amhara,3,388113.19,1521.470636,0.432836107
maize,2013,Amhara,3,434641.83,2905.778422,0.278012117
millet,2013,Amhara,3,226547.4,1799.375738,0.4
pulses,2013,Amhara,3,821900.48,1417.826792,0.479331237
sorghum,2013,Amhara,3,578276.4,1941.574915,0.431398113
teff,2013,Amhara,3,1090139.5,1401.836859,0.766929979
wheat,2013,Amhara,3,498192.03,1783.586502,0.474537925
barley,2014,Amhara,3,373016.41,1578.393414,0.432836107
maize,2014,Amhara,3,474254.25,3370.502187,0.278012117
millet,2014,Amhara,3,236680.54,1951.320092,0.4
pulses,2014,Amhara,3,753499.08,1611.778301,0.479331237
sorghum,2014,Amhara,3,558827.95,2031.056979,0.431398113
teff,2014,Amhara,3,1146730.12,1494.507986,0.766929979
wheat,2014,Amhara,3,529648.64,2114.593029,0.474537925
barley,2015,Amhara,3,362738.63,1724.720014,0.432836107
maize,2015,Amhara,3,513367.36,3579.309847,0.278012117
millet,2015,Amhara,3,242894.75,2018.158886,0.4
pulses,2015,Amhara,3,643493.67,1622.063367,0.479331237
sorghum,2015,Amhara,3,655671.97,2130.127025,0.431398113
teff,2015,Amhara,3,1143115.98,1582.837715,0.766929979
wheat,2015,Amhara,3,529609.63,2257.933352,0.474537925
barley,2016,Amhara,3,323130.12,1782.26901,0.432836107
maize,2016,Amhara,3,517210.23,3507.909811,0.278012117
millet,2016,Amhara,3,256064.53,2145.065621,0.4
pulses,2016,Amhara,3,695392.24,1559.048104,0.479331237
sorghum,2016,Amhara,3,644263.75,2121.741652,0.431398113
