RiverTools ChannelProfile
 
Number of profile points: 158
 
          Distance             Slope     Col     Row     Longitude      Latitude
 
        0.00000000        0.00398672     109      96   36.05458333    7.88708333
        1.83789015        0.00000000     110      96   36.07125000    7.88708333
        4.44080353        0.00916332     109      95   36.05458333    7.90375000
        7.04366589        0.00000000     108      94   36.03791667    7.92041667
        9.64647675        0.00000000     109      93   36.05458333    7.93708333
       11.48973560        0.00000000     109      92   36.05458333    7.95375000
       13.33299637        0.00000000     109      91   36.05458333    7.97041667
       15.17625809        0.00000000     109      90   36.05458333    7.98708333
       17.01952171        0.00000000     109      89   36.05458333    8.00375000
       18.86278725        0.00000000     109      88   36.05458333    8.02041667
       20.70605278        0.00000000     109      87   36.05458333    8.03708333
       22.54932022        0.00000000     109      86   36.05458333    8.05375000
       24.39258957        0.00000000     109      85   36.05458333    8.07041667
       26.23586082        0.00000000     109      84   36.05458333    8.08708333
       28.83815384        0.00000000     110      83   36.07125000    8.10375000
       30.68142700        0.00000000     110      82   36.07125000    8.12041667
       32.52470398        0.00000000     110      81   36.07125000    8.13708333
       34.36798096        0.00466780     110      80   36.07125000    8.15375000
       36.97006226        0.00408177     111      79   36.08791667    8.17041667
       39.57209396        0.00134201     110      78   36.07125000    8.18708333
       42.17407227        0.03681132     111      77   36.08791667    8.20375000
       44.77599716        0.08513644     112      76   36.10458333    8.22041667
       46.61928177        0.03687127     112      75   36.10458333    8.23708333
       48.46256638        0.00257924     112      74   36.10458333    8.25375000
       50.29880142        0.00000000     111      74   36.08791667    8.25375000
       52.14208984        0.00605935     111      73   36.08791667    8.27041667
       54.74380112        0.01940514     112      72   36.10458333    8.28708333
       56.58709335        0.00625634     112      71   36.10458333    8.30375000
       59.18869781        0.00544459     111      70   36.08791667    8.32041667
       61.02462387        0.01930914     110      70   36.07125000    8.32041667
       63.62617493        0.07463896     109      69   36.05458333    8.33708333
       65.46946716        0.01852041     109      68   36.05458333    8.35375000
       68.07090759        0.00000000     108      67   36.03791667    8.37041667
       70.67229462        0.00000000     107      66   36.02125000    8.38708333
       73.27362823        0.00000000     106      65   36.00458333    8.40375000
       75.10916138        0.01578568     105      65   35.98791667    8.40375000
       77.71054840        0.00441813     104      66   35.97125000    8.38708333
       79.54616547        0.00358780     103      66   35.95458333    8.38708333
       81.38178253        0.01431696     102      66   35.93791667    8.38708333
       83.21739960        0.00101328     101      66   35.92125000    8.38708333
       85.05301666        0.00797335     100      66   35.90458333    8.38708333
       86.88863373        0.00000000      99      66   35.88791667    8.38708333
       88.72425079        0.00000000      98      66   35.87125000    8.38708333
       91.32569122        0.00633981      97      67   35.85458333    8.37041667
       93.16138458        0.00000000      96      67   35.83791667    8.37041667
       94.99707794        0.00000000      95      67   35.82125000    8.37041667
       96.83277130        0.00000000      94      67   35.80458333    8.37041667
       98.66846466        0.00000000      93      67   35.78791667    8.37041667
      100.50415802        0.00000000      92      67   35.77125000    8.37041667
      102.33985138        0.00000000      91      67   35.75458333    8.37041667
      104.94123840        0.02966568      90      66   35.73791667    8.38708333
      106.77685547        0.00396324      89      66   35.72125000    8.38708333
      109.37818909        0.00977555      88      65   35.70458333    8.40375000
      111.21372223        0.00000000      87      65   35.68791667    8.40375000
      113.05702209        0.00000000      87      64   35.68791667    8.42041667
      114.90032196        0.00000000      87      63   35.68791667    8.43708333
      117.50149536        0.00209598      86      62   35.67125000    8.45375000
      119.34480286        0.00000000      86      61   35.67125000    8.47041667
      121.18002319        0.00000000      85      61   35.65458333    8.47041667
      123.01524353        0.00000000      84      61   35.63791667    8.47041667
      125.61630249        0.02913391      83      60   35.62125000    8.48708333
      127.45144653        0.00536688      82      60   35.60458333    8.48708333
      130.05256653        0.00628690      81      61   35.58791667    8.47041667
      131.88778687        0.00000000      80      61   35.57125000    8.47041667
      133.72300720        0.00987440      79      61   35.55458333    8.47041667
      135.55822754        0.00309955      78      61   35.53791667    8.47041667
      137.39344788        0.00000000      77      61   35.52125000    8.47041667
      139.22866821        0.00327661      76      61   35.50458333    8.47041667
      141.06388855        0.01011100      75      61   35.48791667    8.47041667
      142.89910889        0.00000000      74      61   35.47125000    8.47041667
